step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1740   1.087500e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.8170e-05    21   9.55210e-04
1750   1.093750e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.6853e-05    21   9.55211e-04
1760   1.100000e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.5598e-05    21   9.55211e-04
1770   1.106250e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.4401e-05    21   9.55212e-04
1780   1.112500e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.3260e-05    21   9.55212e-04
1790   1.118750e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.2173e-05    21   9.55213e-04
1800   1.125000e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.1136e-05    21   9.55213e-04
1810   1.131250e+01   1.0000e+00   1.4023e-03   (34,22,34)   2.0148e-05    21   9.55214e-04
1820   1.137500e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.9207e-05    21   9.55214e-04
1830   1.143750e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.8309e-05    21   9.55214e-04
1840   1.150000e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.7453e-05    21   9.55215e-04
1850   1.156250e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.6637e-05    21   9.55215e-04
1860   1.162500e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.5860e-05    21   9.55215e-04
1870   1.168750e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.5118e-05    21   9.55216e-04
1880   1.175000e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.4412e-05    21   9.55216e-04
1890   1.181250e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.3738e-05    21   9.55216e-04
1900   1.187500e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.3096e-05    21   9.55217e-04
1910   1.193750e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.2484e-05    21   9.55217e-04
1920   1.200000e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.1901e-05    21   9.55217e-04
1930   1.206250e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.1345e-05    21   9.55217e-04
1940   1.212500e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.0814e-05    21   9.55218e-04
1950   1.218750e+01   1.0000e+00   1.4023e-03   (34,22,34)   1.0309e-05    21   9.55218e-04
1960   1.225000e+01   1.0000e+00   1.4023e-03   (34,22,34)   9.8274e-06    21   9.55218e-04
1970   1.231250e+01   1.0000e+00   1.4023e-03   (34,22,34)   9.3682e-06    21   9.55218e-04
1980   1.237500e+01   1.0000e+00   1.4023e-03   (34,22,34)   8.9304e-06    21   9.55218e-04
1990   1.243750e+01   1.0000e+00   1.4023e-03   (34,22,34)   8.5131e-06    21   9.55219e-04
2000   1.250000e+01   1.0000e+00   1.4023e-03   (34,22,34)   8.1153e-06    21   9.55219e-04
