step           time         Umax       divMax           dU  ItrP          ResP
1970   1.231250e+01   1.0000e+00   4.0262e+00   2.3696e-03    83   9.69672e-06
1980   1.237500e+01   1.0000e+00   4.0266e+00   2.3529e-03    83   9.70180e-06
1990   1.243750e+01   1.0000e+00   4.0270e+00   2.3364e-03    83   9.70686e-06
2000   1.250000e+01   1.0000e+00   4.0274e+00   2.3199e-03    83   9.71190e-06
2010   1.256250e+01   1.0000e+00   4.0278e+00   2.3037e-03    83   9.71692e-06
2020   1.262500e+01   1.0000e+00   4.0281e+00   2.2875e-03    83   9.72193e-06
2030   1.268750e+01   1.0000e+00   4.0285e+00   2.2715e-03    83   9.72691e-06
2040   1.275000e+01   1.0000e+00   4.0289e+00   2.2557e-03    83   9.73187e-06
2050   1.281250e+01   1.0000e+00   4.0293e+00   2.2399e-03    83   9.73681e-06
2060   1.287500e+01   1.0000e+00   4.0297e+00   2.2243e-03    83   9.74172e-06
2070   1.293750e+01   1.0000e+00   4.0301e+00   2.2089e-03    83   9.74662e-06
2080   1.300000e+01   1.0000e+00   4.0305e+00   2.1935e-03    83   9.75150e-06
2090   1.306250e+01   1.0000e+00   4.0309e+00   2.1783e-03    83   9.75636e-06
2100   1.312500e+01   1.0000e+00   4.0313e+00   2.1632e-03    83   9.76119e-06
2110   1.318750e+01   1.0000e+00   4.0317e+00   2.1482e-03    83   9.76601e-06
2120   1.325000e+01   1.0000e+00   4.0321e+00   2.1334e-03    83   9.77081e-06
2130   1.331250e+01   1.0000e+00   4.0325e+00   2.1187e-03    83   9.77559e-06
2140   1.337500e+01   1.0000e+00   4.0329e+00   2.1040e-03    83   9.78035e-06
2150   1.343750e+01   1.0000e+00   4.0333e+00   2.0895e-03    83   9.78509e-06
2160   1.350000e+01   1.0000e+00   4.0337e+00   2.0752e-03    83   9.78981e-06
2170   1.356250e+01   1.0000e+00   4.0341e+00   2.0609e-03    83   9.79451e-06
2180   1.362500e+01   1.0000e+00   4.0345e+00   2.0468e-03    83   9.79920e-06
2190   1.368750e+01   1.0000e+00   4.0349e+00   2.0327e-03    83   9.80386e-06
2200   1.375000e+01   1.0000e+00   4.0353e+00   2.0188e-03    83   9.80850e-06
2210   1.381250e+01   1.0000e+00   4.0357e+00   2.0050e-03    83   9.81313e-06
2220   1.387500e+01   1.0000e+00   4.0361e+00   1.9912e-03    83   9.81773e-06
2230   1.393750e+01   1.0000e+00   4.0366e+00   1.9776e-03    83   9.82231e-06
2240   1.400000e+01   1.0000e+00   4.0370e+00   1.9641e-03    83   9.82688e-06
2250   1.406250e+01   1.0000e+00   4.0374e+00   1.9507e-03    83   9.83143e-06
2260   1.412500e+01   1.0000e+00   4.0378e+00   1.9374e-03    83   9.83596e-06
2270   1.418750e+01   1.0000e+00   4.0382e+00   1.9242e-03    83   9.84047e-06
2280   1.425000e+01   1.0000e+00   4.0386e+00   1.9111e-03    83   9.84495e-06
2290   1.431250e+01   1.0000e+00   4.0391e+00   1.8981e-03    83   9.84942e-06
2300   1.437500e+01   1.0000e+00   4.0395e+00   1.8852e-03    83   9.85388e-06
2310   1.443750e+01   1.0000e+00   4.0399e+00   1.8724e-03    83   9.85831e-06
2320   1.450000e+01   1.0000e+00   4.0403e+00   1.8597e-03    83   9.86272e-06
2330   1.456250e+01   1.0000e+00   4.0407e+00   1.8471e-03    83   9.86711e-06
2340   1.462500e+01   1.0000e+00   4.0412e+00   1.8346e-03    83   9.87149e-06
2350   1.468750e+01   1.0000e+00   4.0416e+00   1.8222e-03    83   9.87584e-06
2360   1.475000e+01   1.0000e+00   4.0420e+00   1.8099e-03    83   9.88018e-06
2370   1.481250e+01   1.0000e+00   4.0424e+00   1.7976e-03    83   9.88449e-06
2380   1.487500e+01   1.0000e+00   4.0428e+00   1.7855e-03    83   9.88879e-06
2390   1.493750e+01   1.0000e+00   4.0433e+00   1.7734e-03    83   9.89306e-06
2400   1.500000e+01   1.0000e+00   4.0437e+00   1.7615e-03    83   9.89732e-06
2410   1.506250e+01   1.0000e+00   4.0441e+00   1.7496e-03    83   9.90155e-06
2420   1.512500e+01   1.0000e+00   4.0445e+00   1.7378e-03    83   9.90577e-06
2430   1.518750e+01   1.0000e+00   4.0450e+00   1.7260e-03    83   9.90996e-06
2440   1.525000e+01   1.0000e+00   4.0454e+00   1.7144e-03    83   9.91414e-06
2450   1.531250e+01   1.0000e+00   4.0458e+00   1.7029e-03    83   9.91829e-06
2460   1.537500e+01   1.0000e+00   4.0463e+00   1.6914e-03    83   9.92243e-06
2470   1.543750e+01   1.0000e+00   4.0467e+00   1.6800e-03    83   9.92654e-06
2480   1.550000e+01   1.0000e+00   4.0471e+00   1.6687e-03    83   9.93063e-06
2490   1.556250e+01   1.0000e+00   4.0475e+00   1.6575e-03    83   9.93470e-06
2500   1.562500e+01   1.0000e+00   4.0480e+00   1.6463e-03    83   9.93875e-06
2510   1.568750e+01   1.0000e+00   4.0484e+00   1.6353e-03    83   9.94278e-06
2520   1.575000e+01   1.0000e+00   4.0488e+00   1.6243e-03    83   9.94678e-06
2530   1.581250e+01   1.0000e+00   4.0492e+00   1.6133e-03    83   9.95077e-06
2540   1.587500e+01   1.0000e+00   4.0497e+00   1.6025e-03    83   9.95473e-06
2550   1.593750e+01   1.0000e+00   4.0501e+00   1.5917e-03    83   9.95868e-06
2560   1.600000e+01   1.0000e+00   4.0505e+00   1.5810e-03    83   9.96260e-06
2570   1.606250e+01   1.0000e+00   4.0510e+00   1.5704e-03    83   9.96649e-06
2580   1.612500e+01   1.0000e+00   4.0514e+00   1.5599e-03    83   9.97037e-06
2590   1.618750e+01   1.0000e+00   4.0518e+00   1.5494e-03    83   9.97422e-06
2600   1.625000e+01   1.0000e+00   4.0522e+00   1.5390e-03    83   9.97806e-06
2610   1.631250e+01   1.0000e+00   4.0527e+00   1.5286e-03    83   9.98187e-06
